date,home,away,hg,ag,comp_code
2025-01-02,Vietnam,Thailand,2,1,SEA
2025-01-04,Bahrain,Oman,2,1,GLF
2025-01-05,Thailand,Vietnam,2,3,SEA
2025-01-18,United States,Venezuela,3,1,F
2025-01-22,United States,Costa Rica,3,0,F
2025-01-27,Jordan,Uzbekistan,0,0,F
2025-02-06,Jamaica,Trinidad and Tobago,1,0,F
2025-02-08,Chile,Panama,6,1,F
2025-02-09,Jamaica,Trinidad and Tobago,1,1,F
2025-02-17,Korea DPR,Kazakhstan,2,0,F
2025-03-06,Saint Vincent and the Grenadines,Grenada,1,1,F
2025-03-09,Saint Vincent and the Grenadines,Grenada,1,1,F
2025-03-13,Oman,Sudan,0,0,F
2025-03-14,Jordan,Korea DPR,1,1,F
2025-03-15,China PR,Kuwait,3,1,F
2025-03-16,Guatemala,Honduras,2,1,F
2025-03-19,Kazakhstan,Curaçao,2,0,F
2025-03-19,Madagascar,Central African Republic,4,1,WQ
2025-03-19,Russia,Grenada,5,0,F
2025-03-19,Liberia,Tunisia,0,1,WQ
2025-03-19,Vietnam,Cambodia,2,1,F
2025-03-19,"Hong Kong, China",Macao,2,0,F
2025-03-19,India,Maldives,3,0,F
2025-03-19,Cameroon,Eswatini,0,0,WQ
2025-03-20,Brazil,Colombia,2,1,WQ
2025-03-20,Iraq,Kuwait,2,2,WQ
2025-03-20,Mali,Comoros,3,0,WQ
2025-03-20,Malawi,Namibia,0,1,WQ
2025-03-20,Tajikistan,Belarus,0,5,F
2025-03-20,Japan,Bahrain,2,0,WQ
2025-03-20,Jordan,Palestine,3,1,WQ
2025-03-20,Denmark,Portugal,1,0,ENL
2025-03-20,Peru,Bolivia,3,1,WQ
2025-03-20,The Gambia,Kenya,3,3,WQ
2025-03-20,Qatar,Korea DPR,5,1,WQ
2025-03-20,Korea Republic,Oman,1,1,WQ
2025-03-20,Uzbekistan,Kyrgyz Republic,1,0,WQ
2025-03-20,Libya,Angola,1,1,WQ
2025-03-20,Laos,Sri Lanka,1,2,F
2025-03-20,Benin,Zimbabwe,2,2,WQ
2025-03-20,Lebanon,East Timor,4,0,F
2025-03-20,Kosovo,Iceland,2,1,EBC
2025-03-20,IR Iran,United Arab Emirates,2,0,WQ
2025-03-20,Bulgaria,Ireland,1,2,EBC
2025-03-20,Greece,Scotland,0,1,EAB
2025-03-20,Armenia,Georgia,0,3,EBC
2025-03-20,Saudi Arabia,China PR,1,0,WQ
2025-03-20,Gabon,Seychelles,3,0,WQ
2025-03-20,Italy,Germany,1,2,ENL
2025-03-20,Paraguay,Chile,1,0,WQ
2025-03-20,Australia,Indonesia,5,1,WQ
2025-03-20,Netherlands,Spain,2,2,ENL
2025-03-20,Slovakia,Slovenia,0,0,EBC
2025-03-20,Croatia,France,2,0,ENL
2025-03-20,Türkiye,Hungary,3,1,EAB
2025-03-20,Cape Verde,Mauritius,1,0,WQ
2025-03-20,Mozambique,Uganda,3,1,WQ
2025-03-20,Mexico,Canada,2,0,CNL
2025-03-20,Austria,Serbia,1,1,EAB
2025-03-20,Sierra Leone,Guinea-Bissau,3,1,WQ
2025-03-20,Ukraine,Belgium,3,1,EAB
2025-03-20,United States,Panama,0,1,CNL
2025-03-21,Singapore,Nepal,0,1,F
2025-03-21,New Caledonia,Tahiti,3,0,WQ
2025-03-21,Rwanda,Nigeria,0,2,WQ
2025-03-21,Poland,Lithuania,1,0,WQ
2025-03-21,Morocco,Niger,2,1,WQ
2025-03-21,Suriname,Martinique,1,0,CCQ
2025-03-21,Cyprus,San Marino,2,0,WQ
2025-03-21,New Zealand,Fiji,7,0,WQ
2025-03-21,Belize,Costa Rica,0,7,CCQ
2025-03-21,Malta,Finland,0,1,WQ
2025-03-21,Equatorial Guinea,Sao Tome and Principe,2,0,WQ
2025-03-21,Ghana,Chad,5,0,WQ
2025-03-21,Congo DR,South Sudan,1,0,WQ
2025-03-21,Egypt,Ethiopia,2,0,WQ
2025-03-21,Ecuador,Venezuela,2,1,WQ
2025-03-21,Guadeloupe,Nicaragua,1,0,CCQ
2025-03-21,South Africa,Lesotho,2,0,WQ
2025-03-21,Guyana,Guatemala,3,2,CCQ
2025-03-21,Côte d'Ivoire,Burundi,1,0,WQ
2025-03-21,Burkina Faso,Djibouti,4,1,WQ
2025-03-21,Northern Ireland,Switzerland,1,1,F
2025-03-21,Puerto Rico,Dominican Republic,2,2,F
2025-03-21,Saint Vincent and the Grenadines,Jamaica,1,1,CCQ
2025-03-21,Romania,Bosnia-Herzegovina,0,1,WQ
2025-03-21,Bermuda,Honduras,3,5,CCQ
2025-03-21,Guinea,Somalia,0,0,WQ
2025-03-21,Cuba,Trinidad and Tobago,1,2,CCQ
2025-03-21,Thailand,Afghanistan,2,0,F
2025-03-21,Andorra,Latvia,0,1,WQ
2025-03-21,Uruguay,Argentina,0,1,WQ
2025-03-21,Botswana,Algeria,1,3,WQ
2025-03-21,England,Albania,2,0,WQ
2025-03-22,Moldova,Norway,0,5,WQ
2025-03-22,Azerbaijan,Haiti,0,3,F
2025-03-22,Wales,Kazakhstan,3,1,WQ
2025-03-22,Togo,Mauritania,2,2,WQ
2025-03-22,Israel,Estonia,2,1,WQ
2025-03-22,Montenegro,Gibraltar,3,1,WQ
2025-03-22,Luxembourg,Sweden,1,0,F
2025-03-22,Senegal,Sudan,0,0,WQ
2025-03-22,Czechia,Faroe Islands,2,1,WQ
2025-03-22,Liechtenstein,North Macedonia,0,3,WQ
2025-03-23,Eswatini,Mauritius,3,3,WQ
2025-03-23,Georgia,Armenia,6,1,EBC
2025-03-23,Belgium,Ukraine,3,0,EAB
2025-03-23,United States,Canada,1,2,CNL
2025-03-23,Mexico,Panama,2,1,CNL
2025-03-23,Ireland,Bulgaria,2,1,EBC
2025-03-23,Spain,Netherlands,3,3,ENL
2025-03-23,Scotland,Greece,0,3,EAB
2025-03-23,Kenya,Gabon,1,2,WQ
2025-03-23,Germany,Italy,3,3,ENL
2025-03-23,Serbia,Austria,2,0,EAB
2025-03-23,Slovenia,Slovakia,1,0,EBC
2025-03-23,Iceland,Kosovo,1,3,EBC
2025-03-23,France,Croatia,2,0,ENL
2025-03-23,Portugal,Denmark,5,2,ENL
2025-03-23,Hungary,Türkiye,0,3,EAB
2025-03-24,Guinea-Bissau,Burkina Faso,1,2,WQ
2025-03-24,Bosnia-Herzegovina,Cyprus,2,1,WQ
2025-03-24,Ghana,Madagascar,3,0,WQ
2025-03-24,Equatorial Guinea,Namibia,1,1,WQ
2025-03-24,England,Latvia,3,0,WQ
2025-03-24,Central African Republic,Mali,0,0,WQ
2025-03-24,San Marino,Romania,1,5,WQ
2025-03-24,Lithuania,Finland,2,2,WQ
2025-03-24,Albania,Andorra,3,0,WQ
2025-03-24,Poland,Malta,2,0,WQ
2025-03-24,Tunisia,Malawi,2,0,WQ
2025-03-24,Liberia,Sao Tome and Principe,2,1,WQ
2025-03-24,Côte d'Ivoire,The Gambia,1,0,WQ
2025-03-24,New Zealand,New Caledonia,3,0,WQ
2025-03-24,Ethiopia,Djibouti,6,1,WQ
2025-03-25,Jamaica,Saint Vincent and the Grenadines,3,0,CCQ
2025-03-25,Honduras,Bermuda,2,0,CCQ
2025-03-25,Kuwait,Oman,0,1,WQ
2025-03-25,Lebanon,Brunei Darussalam,5,0,SQ
2025-03-25,Cameroon,Libya,3,1,WQ
2025-03-25,Montenegro,Faroe Islands,1,0,WQ
2025-03-25,Tajikistan,East Timor,1,0,SQ
2025-03-25,Russia,Zambia,5,0,F
2025-03-25,India,Bangladesh,0,0,SQ
2025-03-25,Palestine,Iraq,2,1,WQ
2025-03-25,Malaysia,Nepal,2,0,SQ
2025-03-25,Bhutan,Yemen,0,0,SQ
2025-03-25,South Sudan,Sudan,1,1,WQ
2025-03-25,Cambodia,Aruba,1,2,F
2025-03-25,Switzerland,Luxembourg,3,1,F
2025-03-25,Senegal,Togo,2,0,WQ
2025-03-25,Nigeria,Zimbabwe,1,1,WQ
2025-03-25,Chinese Taipei,Turkmenistan,1,2,SQ
2025-03-25,Sweden,Northern Ireland,5,1,F
2025-03-25,Costa Rica,Belize,6,1,CCQ
2025-03-25,IR Iran,Uzbekistan,2,2,WQ
2025-03-25,South Africa,Benin,2,0,WQ
2025-03-25,Singapore,"Hong Kong, China",0,0,SQ
2025-03-25,Chile,Ecuador,0,0,WQ
2025-03-25,Myanmar,Afghanistan,2,1,SQ
2025-03-25,Vietnam,Laos,5,0,SQ
2025-03-25,North Macedonia,Wales,1,1,WQ
2025-03-25,Angola,Cape Verde,1,2,WQ
2025-03-25,Colombia,Paraguay,2,2,WQ
2025-03-25,Comoros,Chad,1,0,WQ
2025-03-25,Burundi,Seychelles,5,0,WQ
2025-03-25,Kyrgyz Republic,Qatar,3,1,WQ
2025-03-25,Philippines,Maldives,4,1,SQ
2025-03-25,United Arab Emirates,Korea DPR,2,1,WQ
2025-03-25,Moldova,Estonia,2,3,WQ
2025-03-25,Rwanda,Lesotho,1,1,WQ
2025-03-25,Azerbaijan,Belarus,0,2,F
2025-03-25,Korea Republic,Jordan,1,1,WQ
2025-03-25,Dominican Republic,Puerto Rico,2,0,F
2025-03-25,Norway,Israel,4,2,WQ
2025-03-25,Argentina,Brazil,4,1,WQ
2025-03-25,Japan,Saudi Arabia,0,0,WQ
2025-03-25,Egypt,Sierra Leone,1,0,WQ
2025-03-25,Guatemala,Guyana,2,0,CCQ
2025-03-25,Venezuela,Peru,1,0,WQ
2025-03-25,Thailand,Sri Lanka,1,0,SQ
2025-03-25,Czechia,Gibraltar,4,0,WQ
2025-03-25,Syria,Pakistan,2,0,SQ
2025-03-25,Algeria,Mozambique,5,1,WQ
2025-03-25,Mauritania,Congo DR,0,2,WQ
2025-03-25,Bolivia,Uruguay,0,0,WQ
2025-03-25,Trinidad and Tobago,Cuba,4,0,CCQ
2025-03-25,Uganda,Guinea,1,0,WQ
2025-03-25,Morocco,Tanzania,2,0,WQ
2025-03-25,Liechtenstein,Kazakhstan,0,2,WQ
2025-03-25,Indonesia,Bahrain,1,0,WQ
2025-03-25,Botswana,Somalia,2,0,WQ
2025-03-25,Nicaragua,Guadeloupe,0,1,CCQ
2025-03-25,China PR,Australia,0,2,WQ
2025-03-25,Martinique,Suriname,0,1,CCQ
2025-03-25,Niger,Bonaire,6,0,F
2025-05-08,Dominica,Barbados,0,0,F
2025-05-11,Dominica,Barbados,0,0,F
2025-05-20,Saint Kitts and Nevis,Saint Vincent and the Grenadines,1,3,F
2025-05-23,Saint Martin,Anguilla,2,1,PEL
2025-05-24,Saint Kitts and Nevis,Anguilla,4,2,PEL
2025-05-25,Saint Martin,Saint Kitts and Nevis,4,1,PEL
2025-05-25,Saint Vincent and the Grenadines,Saint Kitts and Nevis,3,0,F
2025-05-27,Jamaica,Trinidad and Tobago,3,2,UTC
2025-05-28,Nigeria,Ghana,2,1,UTC
2025-05-28,Oman,Lebanon,1,0,F
2025-05-29,Malaysia,Cape Verde,1,1,F
2025-05-29,Saint Vincent and the Grenadines,British Virgin Islands,1,1,F
2025-05-30,Saudi Arabia,Jordan,2,0,F
2025-05-31,Grenada,Anguilla,2,0,F
2025-05-31,Jamaica,Nigeria,2,2,UTC
2025-05-31,Ghana,Trinidad and Tobago,4,0,UTC
2025-05-31,El Salvador,Guatemala,1,1,F
2025-06-01,Nicaragua,Puerto Rico,1,1,F
2025-06-02,Tunisia,Burkina Faso,2,0,F
2025-06-03,Malaysia,Cape Verde,0,3,F
2025-06-04,South Africa,Mozambique,0,1,CSF
2025-06-04,Thailand,India,2,0,F
2025-06-04,Germany,Portugal,1,2,ENL
2025-06-04,Dominica,British Virgin Islands,3,0,WQ
2025-06-04,Montserrat,Belize,1,0,WQ
2025-06-04,Bangladesh,Bhutan,2,0,F
2025-06-04,Barbados,Aruba,1,1,WQ
2025-06-04,Grenada,Bahamas,6,0,WQ
2025-06-04,Mauritius,Zimbabwe,0,0,CSF
2025-06-04,Saint Vincent and the Grenadines,Anguilla,6,0,WQ
2025-06-04,Bermuda,Cayman Islands,5,0,WQ
2025-06-05,Algeria,Rwanda,2,0,F
2025-06-05,Georgia,Faroe Islands,1,0,F
2025-06-05,Kuwait,Palestine,0,2,WQ
2025-06-05,Indonesia,China PR,1,0,WQ
2025-06-05,Oman,Jordan,0,3,WQ
2025-06-05,Belarus,Kazakhstan,4,1,F
2025-06-05,Kyrgyz Republic,Korea DPR,2,2,WQ
2025-06-05,Sri Lanka,Brunei Darussalam,1,0,F
2025-06-05,Singapore,Maldives,3,1,F
2025-06-05,Chile,Argentina,0,1,WQ
2025-06-05,Congo DR,Mali,1,0,F
2025-06-05,Bahrain,Saudi Arabia,0,2,WQ
2025-06-05,Paraguay,Uruguay,2,0,WQ
2025-06-05,United Arab Emirates,Uzbekistan,0,0,WQ
2025-06-05,Lesotho,Malawi,1,0,CSF
2025-06-05,Ecuador,Brazil,0,0,WQ
2025-06-05,"Hong Kong, China",Nepal,0,0,F
2025-06-05,Spain,France,5,4,ENL
2025-06-05,Qatar,IR Iran,1,0,WQ
2025-06-05,Angola,Namibia,1,1,CSF
2025-06-05,Chinese Taipei,Macao,2,0,F
2025-06-05,Iraq,Korea Republic,0,2,WQ
2025-06-05,Cambodia,Tajikistan,1,2,F
2025-06-05,Australia,Japan,1,0,WQ
2025-06-06,Ireland,Senegal,1,1,F
2025-06-06,Croatia,Gibraltar,7,0,WQ
2025-06-06,Norway,Italy,3,0,WQ
2025-06-06,Nicaragua,Guyana,1,0,WQ
2025-06-06,Guatemala,Dominican Republic,4,2,WQ
2025-06-06,Trinidad and Tobago,Saint Kitts and Nevis,6,2,WQ
2025-06-06,Cameroon,Uganda,3,0,F
2025-06-06,Morocco,Tunisia,2,0,F
2025-06-06,Poland,Moldova,2,0,F
2025-06-06,Venezuela,Bolivia,2,0,WQ
2025-06-06,Antigua and Barbuda,Cuba,0,1,WQ
2025-06-06,The Gambia,Equatorial Guinea,2,1,F
2025-06-06,Colombia,Peru,0,0,WQ
2025-06-06,Wales,Liechtenstein,3,0,WQ
2025-06-06,Kosovo,Armenia,5,2,F
2025-06-06,Bulgaria,Cyprus,2,2,F
2025-06-06,Russia,Nigeria,1,1,F
2025-06-06,Luxembourg,Slovenia,0,1,F
2025-06-06,Comoros,Zambia,1,0,CSF
2025-06-06,Burundi,Guinea-Bissau,1,0,F
2025-06-06,South Africa,Tanzania,0,0,F
2025-06-06,Hungary,Sweden,0,2,F
2025-06-06,Burkina Faso,Zimbabwe,2,0,F
2025-06-06,Niger,Gabon,4,3,F
2025-06-06,Suriname,Puerto Rico,1,0,WQ
2025-06-06,North Macedonia,Belgium,1,1,WQ
2025-06-06,Scotland,Iceland,1,3,F
2025-06-06,Czechia,Montenegro,2,0,WQ
2025-06-06,Estonia,Israel,1,3,WQ
2025-06-06,Central African Republic,Mauritania,2,1,F
2025-06-07,England,Andorra,1,0,WQ
2025-06-07,Belize,Panama,0,2,WQ
2025-06-07,Austria,Romania,2,1,WQ
2025-06-07,Albania,Serbia,0,0,WQ
2025-06-07,New Zealand,Côte d'Ivoire,1,0,CDS
2025-06-07,Bosnia-Herzegovina,San Marino,1,0,WQ
2025-06-07,Finland,Netherlands,0,2,WQ
2025-06-07,Aruba,Haiti,0,5,WQ
2025-06-07,British Virgin Islands,Jamaica,0,1,WQ
2025-06-07,Chad,Kenya,0,0,F
2025-06-07,Greece,Slovakia,4,1,F
2025-06-07,Latvia,Azerbaijan,0,0,F
2025-06-07,Anguilla,El Salvador,0,3,WQ
2025-06-07,Switzerland,Mexico,4,2,F
2025-06-07,South Africa,Zimbabwe,2,0,CSF
2025-06-07,Mauritius,Mozambique,0,0,CSF
2025-06-07,Madagascar,Tanzania,1,0,CSF
2025-06-07,Denmark,Northern Ireland,2,1,F
2025-06-07,Costa Rica,Bahamas,8,0,WQ
2025-06-07,United States,Türkiye,1,2,F
2025-06-07,Cayman Islands,Honduras,0,1,WQ
2025-06-07,Malta,Lithuania,0,0,WQ
2025-06-07,Canada,Ukraine,4,2,CDS
2025-06-08,Georgia,Cape Verde,1,1,F
2025-06-08,Malawi,Namibia,0,0,CSF
2025-06-08,Portugal,Spain,2,2,ENL
2025-06-08,Congo DR,Madagascar,3,1,F
2025-06-08,Angola,Lesotho,4,0,CSF
2025-06-08,Germany,France,0,2,ENL
2025-06-09,Estonia,Norway,0,1,WQ
2025-06-09,Faroe Islands,Gibraltar,2,1,WQ
2025-06-09,Eswatini,Madagascar,1,1,CSF
2025-06-09,The Gambia,Uganda,1,1,F
2025-06-09,Kazakhstan,North Macedonia,0,1,WQ
2025-06-09,Liechtenstein,Scotland,0,4,F
2025-06-09,Montenegro,Armenia,2,2,F
2025-06-09,Kosovo,Comoros,4,2,F
2025-06-09,Morocco,Benin,1,0,F
2025-06-09,Gabon,Guinea-Bissau,2,0,F
2025-06-09,Italy,Moldova,2,0,WQ
2025-06-09,Botswana,Comoros,0,0,CSF
2025-06-09,Belgium,Wales,4,3,WQ
2025-06-09,Croatia,Czechia,5,1,WQ
2025-06-09,Cameroon,Equatorial Guinea,1,1,F
2025-06-10,Finland,Poland,2,1,WQ
2025-06-10,"Hong Kong, China",India,1,0,SQ
2025-06-10,Sri Lanka,Chinese Taipei,3,1,SQ
2025-06-10,Kenya,Chad,2,1,F
2025-06-10,Burundi,Mauritania,0,0,F
2025-06-10,Romania,Cyprus,2,0,WQ
2025-06-10,Syria,Afghanistan,1,0,SQ
2025-06-10,Jamaica,Guatemala,3,0,WQ
2025-06-10,Turkmenistan,Thailand,3,1,SQ
2025-06-10,Canada,Côte d'Ivoire,0,0,CDS
2025-06-10,Curaçao,Haiti,5,1,WQ
2025-06-10,England,Senegal,1,3,F
2025-06-10,Guyana,Montserrat,3,0,WQ
2025-06-10,Denmark,Lithuania,5,0,F
2025-06-10,El Salvador,Suriname,1,1,WQ
2025-06-10,Saint Kitts and Nevis,Grenada,2,3,WQ
2025-06-10,Costa Rica,Trinidad and Tobago,2,1,WQ
2025-06-10,Sweden,Algeria,4,3,F
2025-06-10,Peru,Ecuador,0,0,WQ
2025-06-10,Uruguay,Venezuela,2,0,WQ
2025-06-10,United States,Switzerland,0,4,F
2025-06-10,Dominican Republic,Dominica,5,0,WQ
2025-06-10,Honduras,Antigua and Barbuda,2,0,WQ
2025-06-10,Latvia,Albania,1,1,WQ
2025-06-10,Northern Ireland,Iceland,1,0,F
2025-06-10,Lebanon,Yemen,0,0,SQ
2025-06-10,Brazil,Paraguay,1,0,WQ
2025-06-10,Saudi Arabia,Australia,1,2,WQ
2025-06-10,Jordan,Iraq,0,1,WQ
2025-06-10,South Africa,Mauritius,0,0,CSF
2025-06-10,Myanmar,Pakistan,1,0,SQ
2025-06-10,Luxembourg,Ireland,0,0,F
2025-06-10,Israel,Slovakia,1,0,F
2025-06-10,Puerto Rico,Saint Vincent and the Grenadines,2,1,WQ
2025-06-10,Zimbabwe,Mozambique,3,1,CSF
2025-06-10,Belarus,Russia,1,4,F
2025-06-10,Uzbekistan,Qatar,3,0,WQ
2025-06-10,Saint Lucia,Barbados,2,1,WQ
2025-06-10,Slovenia,Bosnia-Herzegovina,2,1,F
2025-06-10,South Africa,Mozambique,2,0,F
2025-06-10,Mexico,Türkiye,1,0,F
2025-06-10,Azerbaijan,Hungary,1,2,F
2025-06-10,Bolivia,Chile,2,0,WQ
2025-06-10,Brunei Darussalam,Bhutan,2,1,SQ
2025-06-10,Korea Republic,Kuwait,4,0,WQ
2025-06-10,San Marino,Austria,0,4,WQ
2025-06-10,Namibia,Lesotho,3,0,CSF
2025-06-10,Cuba,Bermuda,1,2,WQ
2025-06-10,Kyrgyz Republic,United Arab Emirates,1,1,WQ
2025-06-10,Angola,Malawi,1,0,CSF
2025-06-10,Serbia,Andorra,3,0,WQ
2025-06-10,Japan,Indonesia,6,0,WQ
2025-06-10,Laos,Nepal,2,1,SQ
2025-06-10,Argentina,Colombia,1,1,WQ
2025-06-10,Greece,Bulgaria,4,0,F
2025-06-10,Bangladesh,Singapore,1,2,SQ
2025-06-10,Panama,Nicaragua,3,0,WQ
2025-06-10,Netherlands,Malta,8,0,WQ
2025-06-10,Philippines,Tajikistan,2,2,SQ
2025-06-10,Malaysia,Vietnam,4,0,SQ
2025-06-10,Niger,Zimbabwe,1,1,F
2025-06-10,IR Iran,Korea DPR,3,0,WQ
2025-06-10,Ukraine,New Zealand,2,1,CDS
2025-06-10,Oman,Palestine,1,1,WQ
2025-06-10,East Timor,Maldives,1,0,SQ
2025-06-10,China PR,Bahrain,1,0,WQ
2025-06-11,Tanzania,Eswatini,2,1,CSF
2025-06-11,Botswana,Zambia,3,3,CSF
2025-06-13,Angola,Madagascar,4,1,CSF
2025-06-13,South Africa,Comoros,3,1,CSF
2025-06-14,Mexico,Dominican Republic,3,2,CCH
2025-06-15,South Africa,Angola,0,3,CSF
2025-06-15,United States,Trinidad and Tobago,5,0,CCH
2025-06-15,Comoros,Madagascar,1,0,CSF
2025-06-15,Saudi Arabia,Haiti,1,0,CCH
2025-06-15,Costa Rica,Suriname,4,3,CCH
2025-06-16,Guatemala,Jamaica,1,0,CCH
2025-06-16,Panama,Guadeloupe,5,2,CCH
2025-06-17,Canada,Honduras,6,0,CCH
2025-06-17,Curaçao,El Salvador,0,0,CCH
2025-06-18,Costa Rica,Dominican Republic,2,1,CCH
2025-06-18,Mexico,Suriname,2,0,CCH
2025-06-19,United States,Saudi Arabia,1,0,CCH
2025-06-19,Haiti,Trinidad and Tobago,1,1,CCH
2025-06-20,Jamaica,Guadeloupe,2,1,CCH
2025-06-20,Panama,Guatemala,1,0,CCH
2025-06-21,Honduras,El Salvador,2,0,CCH
2025-06-21,Canada,Curaçao,1,1,CCH
2025-06-22,Saudi Arabia,Trinidad and Tobago,1,1,CCH
2025-06-22,United States,Haiti,2,1,CCH
2025-06-22,Dominican Republic,Suriname,0,0,CCH
2025-06-22,Costa Rica,Mexico,0,0,CCH
2025-06-24,Canada,El Salvador,2,0,CCH
2025-06-24,Guatemala,Guadeloupe,3,2,CCH
2025-06-24,Panama,Jamaica,4,1,CCH
2025-06-24,Honduras,Curaçao,2,1,CCH
2025-06-28,Mexico,Saudi Arabia,2,0,CCH
2025-06-28,Panama,Honduras,1,1,CCH
2025-06-29,United States,Costa Rica,2,2,CCH
2025-06-29,Canada,Guatemala,1,1,CCH
2025-07-02,Mexico,Honduras,1,0,CCH
2025-07-02,United States,Guatemala,2,1,CCH
2025-07-06,Malawi,Botswana,1,1,IPC
2025-07-06,United States,Mexico,1,2,CCH
2025-07-07,Korea Republic,China PR,3,0,EAH
2025-07-08,Japan,"Hong Kong, China",6,1,EAH
2025-07-11,Korea Republic,"Hong Kong, China",2,0,EAH
2025-07-12,Japan,China PR,2,0,EAH
2025-07-15,China PR,"Hong Kong, China",1,0,EAH
2025-07-15,Korea Republic,Japan,0,1,EAH
2025-08-13,Turks and Caicos Islands,US Virgin Islands,1,1,OCH
2025-08-14,US Virgin Islands,Marshall Islands,4,0,OCH
2025-08-16,Turks and Caicos Islands,Marshall Islands,3,2,OCH
2025-08-24,Qatar,Lebanon,0,1,F
2025-08-29,IR Iran,Afghanistan,3,1,CNU
2025-08-29,Tajikistan,India,1,2,CNU
2025-08-30,Uzbekistan,Oman,1,1,CNU
2025-08-30,Kyrgyz Republic,Turkmenistan,1,1,CNU
2025-09-01,IR Iran,India,3,0,CNU
2025-09-01,Tajikistan,Afghanistan,2,0,CNU
2025-09-02,Uzbekistan,Turkmenistan,2,1,CNU
2025-09-02,Oman,Kyrgyz Republic,2,1,CNU
2025-09-03,Qatar,Bahrain,2,2,F
2025-09-03,Gabon,Seychelles,4,0,WQ
2025-09-04,Georgia,Türkiye,2,3,WQ
