date,home,away,hg,ag,comp_code
2025-11-18,Antigua and Barbuda,Guyana,1,4,CFS
2025-11-18,Bulgaria,Georgia,2,1,WQ
2025-11-18,Scotland,Denmark,4,2,WQ
2025-11-18,Dominican Republic,Martinique,0,0,CFS
2025-11-18,Saudi Arabia,Algeria,0,2,F
2025-11-18,Costa Rica,Honduras,0,0,WQ
2025-11-18,Ecuador,New Zealand,2,0,F
2025-11-18,Guatemala,Suriname,3,1,WQ
2025-11-18,Angola,Zambia,3,2,F
2025-11-18,IR Iran,Uzbekistan,0,0,FT
2025-11-18,Korea Republic,Ghana,1,0,F
2025-11-18,Faroe Islands,Kazakhstan,1,0,F
2025-11-18,Spain,Türkiye,2,2,WQ
2025-11-18,Haiti,Nicaragua,2,0,WQ
2025-11-18,Sri Lanka,Thailand,0,4,SQ
2025-11-18,Canada,Venezuela,2,0,F
2025-11-18,Panama,El Salvador,3,0,WQ
2025-11-18,Romania,San Marino,7,1,WQ
2025-11-18,Tajikistan,East Timor,5,0,SQ
2025-11-18,"Hong Kong, China",Singapore,1,2,SQ
2025-11-18,Turkmenistan,Chinese Taipei,3,1,SQ
2025-11-18,Guinea,Niger,1,1,F
2025-11-18,Pakistan,Syria,0,5,SQ
2025-11-18,Brazil,Tunisia,1,1,F
2025-11-18,Brunei Darussalam,Lebanon,0,3,SQ
2025-11-18,Oman,Côte d'Ivoire,0,2,F
2025-11-18,Sweden,Slovenia,1,1,WQ
2025-11-18,United States,Uruguay,5,1,F
2025-11-18,Chile,Peru,2,1,F
2025-11-18,Cyprus,Estonia,2,4,F
2025-11-19,Laos,Vietnam,0,2,SQ
2025-11-20,Vanuatu,Solomon Islands,2,1,MLN
2025-11-20,Papua New Guinea,Fiji,2,0,MLN
2025-11-21,Bahrain,Somalia,0,1,F
2025-11-22,Fiji,Solomon Islands,1,1,MLN
2025-11-23,Papua New Guinea,Vanuatu,2,2,MLN
2025-11-25,Kuwait,Mauritania,2,0,ARQ
2025-11-25,Syria,South Sudan,2,0,ARQ
2025-11-25,Libya,Palestine,0,0,ARQ
2025-11-26,Oman,Somalia,0,0,ARQ
2025-11-26,Sudan,Lebanon,2,1,ARQ
2025-11-26,Bahrain,Djibouti,1,0,ARQ
2025-11-26,Comoros,Yemen,4,4,ARQ
2025-12-01,Qatar,Palestine,0,1,ARC
2025-12-01,Syria,Tunisia,1,0,ARC
2025-12-02,Saudi Arabia,Oman,2,1,ARC
2025-12-02,Egypt,Kuwait,1,1,ARC
2025-12-02,Morocco,Comoros,3,1,ARC
2025-12-03,Jordan,United Arab Emirates,2,1,ARC
2025-12-03,Iraq,Bahrain,2,1,ARC
2025-12-03,Algeria,Sudan,0,0,ARC
2025-12-04,Qatar,Syria,1,1,ARC
2025-12-04,Palestine,Tunisia,2,2,ARC
2025-12-05,Saudi Arabia,Comoros,3,1,ARC
2025-12-05,Morocco,Oman,0,0,ARC
2025-12-06,Egypt,United Arab Emirates,1,1,ARC
2025-12-06,Algeria,Bahrain,5,1,ARC
2025-12-06,Iraq,Sudan,2,0,ARC
2025-12-06,Jordan,Kuwait,3,1,ARC
2025-12-07,Qatar,Tunisia,0,3,ARC
2025-12-07,Palestine,Syria,0,0,ARC
2025-12-08,Morocco,Saudi Arabia,1,0,ARC
2025-12-08,Oman,Comoros,2,1,ARC
2025-12-09,United Arab Emirates,Kuwait,3,1,ARC
2025-12-09,Algeria,Iraq,2,0,ARC
2025-12-09,Jordan,Egypt,3,0,ARC
2025-12-09,Bahrain,Sudan,3,1,ARC
2025-12-11,Saudi Arabia,Palestine,2,1,ARC
2025-12-11,Morocco,Syria,1,0,ARC
2025-12-12,Algeria,United Arab Emirates,1,1,ARC
2025-12-12,Jordan,Iraq,1,0,ARC
2025-12-15,Morocco,United Arab Emirates,3,0,ARC
2025-12-15,Jordan,Saudi Arabia,1,0,ARC
2025-12-16,Congo DR,Zambia,2,0,F
2025-12-16,Egypt,Nigeria,2,1,F
2025-12-17,Angola,Mozambique,4,1,F
2025-12-18,Tunisia,Botswana,2,1,F
2025-12-18,Saudi Arabia,United Arab Emirates,0,0,ARC
2025-12-18,Morocco,Jordan,3,2,ARC
2025-12-21,Morocco,Comoros,2,0,AR
2025-12-21,Peru,Bolivia,2,0,F
2025-12-22,Egypt,Zimbabwe,2,1,AR
2025-12-22,South Africa,Angola,2,1,AR
2025-12-22,Mali,Zambia,1,1,AR
2025-12-23,Congo DR,Benin,1,0,AR
2025-12-23,Tunisia,Uganda,3,1,AR
2025-12-23,Nigeria,Tanzania,2,1,AR
2025-12-23,Senegal,Botswana,3,0,AR
2025-12-24,Burkina Faso,Equatorial Guinea,2,1,AR
2025-12-24,Algeria,Sudan,3,0,AR
2025-12-24,Côte d'Ivoire,Mozambique,1,0,AR
2025-12-24,Cameroon,Gabon,1,0,AR
2025-12-26,Egypt,South Africa,1,0,AR
2025-12-26,Morocco,Mali,1,1,AR
2025-12-26,Comoros,Zambia,0,0,AR
2025-12-26,Angola,Zimbabwe,1,1,AR
2025-12-27,Congo DR,Senegal,1,1,AR
2025-12-27,Nigeria,Tunisia,3,2,AR
2025-12-27,Tanzania,Uganda,1,1,AR
2025-12-27,Benin,Botswana,1,0,AR
2025-12-28,Algeria,Burkina Faso,1,0,AR
2025-12-28,Mozambique,Gabon,3,2,AR
2025-12-28,Sudan,Equatorial Guinea,1,0,AR
2025-12-28,Cameroon,Côte d'Ivoire,1,1,AR
2025-12-29,Morocco,Zambia,3,0,AR
2025-12-29,Comoros,Mali,0,0,AR
2025-12-29,Angola,Egypt,0,0,AR
2025-12-29,South Africa,Zimbabwe,3,2,AR
2025-12-30,Congo DR,Botswana,3,0,AR
2025-12-30,Tanzania,Tunisia,1,1,AR
2025-12-30,Nigeria,Uganda,3,1,AR
2025-12-30,Senegal,Benin,3,0,AR
2025-12-31,Côte d'Ivoire,Gabon,3,2,AR
2025-12-31,Burkina Faso,Sudan,2,0,AR
2025-12-31,Cameroon,Mozambique,2,1,AR
2025-12-31,Algeria,Equatorial Guinea,3,1,AR
2026-01-03,Mali,Tunisia,1,1,AR
2026-01-03,Senegal,Sudan,3,1,AR
2026-01-04,Cameroon,South Africa,2,1,AR
2026-01-04,Morocco,Tanzania,1,0,AR
2026-01-05,Nigeria,Mozambique,4,0,AR
2026-01-05,Egypt,Benin,3,1,AR
2026-01-06,Côte d'Ivoire,Burkina Faso,3,0,AR
2026-01-06,Algeria,Congo DR,1,0,AR
2026-01-09,Morocco,Cameroon,2,0,AR
2026-01-09,Senegal,Mali,1,0,AR
2026-01-10,Egypt,Côte d'Ivoire,3,2,AR
2026-01-10,Nigeria,Algeria,2,0,AR
2026-01-14,Morocco,Nigeria,0,0,AR
2026-01-14,Senegal,Egypt,1,0,AR
2026-01-17,Egypt,Nigeria,0,0,AR
2026-01-17,Canada,Guatemala,1,0,F
2026-01-18,Morocco,Senegal,0,1,AR
2026-01-18,Grenada,Jamaica,0,1,F
2026-01-18,Bolivia,Panama,1,1,F
2026-01-22,Panama,Mexico,0,1,F
2026-01-25,Bolivia,Mexico,0,1,F
2026-01-26,China PR,Uzbekistan,2,2,F
2026-02-21,Martinique,Jamaica,0,2,F
2026-02-25,Mexico,Iceland,4,0,F
2026-03-15,Bolivia,Trinidad and Tobago,3,0,F
2026-03-25,Puerto Rico,Guam,4,0,FFS
2026-03-25,Kazakhstan,Namibia,2,0,FFS
2026-03-25,Equatorial Guinea,Kyrgyz Republic,1,0,F
2026-03-25,Eritrea,Eswatini,2,0,FQ
2026-03-25,US Virgin Islands,Eastern Samoa,5,2,FFS
2026-03-25,Congo DR,Bermuda,2,0,F
2026-03-26,Poland,Albania,2,1,WQ
2026-03-26,Moldova,Lithuania,0,2,F
2026-03-26,Saint Martin,Barbados,3,1,CFS
2026-03-26,Türkiye,Romania,1,0,WQ
2026-03-26,Anguilla,Bahamas,3,1,CFS
2026-03-26,Vietnam,Bangladesh,3,0,F
2026-03-26,Jamaica,New Caledonia,1,0,WQ
2026-03-26,Malta,Luxembourg,0,2,ECD
2026-03-26,Italy,Northern Ireland,2,0,WQ
2026-03-26,South Sudan,Djibouti,4,0,FQ
2026-03-26,Bonaire,Saint Vincent and the Grenadines,3,1,CFS
2026-03-26,Cuba,Martinique,2,2,CFS
2026-03-26,Bolivia,Suriname,2,1,WQ
2026-03-26,Denmark,North Macedonia,4,0,WQ
2026-03-26,Wales,Bosnia-Herzegovina,1,1,WQ
2026-03-26,Sweden,Ukraine,3,1,WQ
2026-03-26,Dominican Republic,El Salvador,2,2,CFS
2026-03-26,Croatia,Colombia,2,1,F
2026-03-26,Czechia,Ireland,2,2,WQ
2026-03-26,Liechtenstein,Tanzania,1,0,FFS
2026-03-26,Cyprus,Belarus,0,1,F
2026-03-26,Cayman Islands,British Virgin Islands,1,1,CFS
2026-03-26,Georgia,Israel,2,2,F
2026-03-26,France,Brazil,2,1,F
2026-03-26,Gibraltar,Latvia,0,1,ECD
2026-03-26,Aruba,Macao,4,1,FFS
2026-03-26,Slovakia,Kosovo,3,4,WQ
2026-03-26,Myanmar,Afghanistan,2,1,SQ
2026-03-26,Lesotho,Seychelles,0,0,FQ
2026-03-27,Sint Maarten,Belize,3,2,CFS
2026-03-27,Spain,Serbia,3,0,F
2026-03-27,New Zealand,Finland,0,2,FFS
2026-03-27,Venezuela,Trinidad and Tobago,4,1,FFS
2026-03-27,Ecuador,Morocco,1,1,F
2026-03-27,Switzerland,Germany,3,4,F
2026-03-27,China PR,Curaçao,2,0,FFS
2026-03-27,Indonesia,Saint Kitts and Nevis,4,0,FFS
2026-03-27,Guyana,Dominica,2,0,CFS
2026-03-27,Uzbekistan,Gabon,3,1,FFS
2026-03-27,Costa Rica,Jordan,2,2,NSM
2026-03-27,Benin,Liberia,1,0,F
2026-03-27,Bulgaria,Solomon Islands,10,2,FFS
2026-03-27,Netherlands,Norway,2,1,F
2026-03-27,Nigeria,IR Iran,2,1,NSM
2026-03-27,England,Uruguay,1,1,F
2026-03-27,Chad,Burundi,0,4,FQ
2026-03-27,Mauritius,Somalia,0,0,FQ
2026-03-27,Argentina,Mauritania,2,1,F
2026-03-27,Russia,Nicaragua,3,1,F
2026-03-27,Libya,Niger,0,0,F
2026-03-27,South Africa,Panama,1,1,F
2026-03-27,Montenegro,Andorra,2,0,F
2026-03-27,Australia,Cameroon,1,0,FFS
2026-03-27,Rwanda,Grenada,4,0,FFS
2026-03-27,Estonia,Kenya,1,1,FFS
2026-03-27,Azerbaijan,Saint Lucia,6,1,FFS
2026-03-27,Greece,Paraguay,0,1,F
2026-03-27,Saudi Arabia,Egypt,0,4,F
2026-03-27,Ethiopia,Sao Tome and Principe,3,0,FQ
2026-03-27,Algeria,Guatemala,7,0,F
2026-03-27,Guinea,Togo,2,2,F
2026-03-27,Chile,Cape Verde,4,2,FFS
2026-03-27,Austria,Ghana,5,1,F
2026-03-28,Côte d'Ivoire,Korea Republic,4,0,F
2026-03-28,Botswana,Zimbabwe,0,3,MKR
2026-03-28,Senegal,Peru,2,0,F
2026-03-28,Guam,Eastern Samoa,6,0,FFS
2026-03-28,Comoros,Namibia,0,0,FFS
2026-03-28,Hungary,Slovenia,1,0,F
2026-03-28,Madagascar,Kyrgyz Republic,5,2,F
2026-03-28,Scotland,Japan,0,1,F
2026-03-28,Canada,Iceland,2,2,FT
2026-03-28,Tunisia,Haiti,1,0,FT
2026-03-28,Burkina Faso,Guinea-Bissau,5,0,F
2026-03-28,United States,Belgium,2,5,F
2026-03-28,San Marino,Faroe Islands,1,2,F
2026-03-28,Mexico,Portugal,0,0,F
2026-03-28,Puerto Rico,US Virgin Islands,2,0,FFS
2026-03-29,France,Colombia,3,1,F
2026-03-29,Lithuania,Georgia,0,2,F
2026-03-29,Aruba,Liechtenstein,4,1,FFS
2026-03-29,Lesotho,Seychelles,2,1,FQ
2026-03-29,Saint Vincent and the Grenadines,Barbados,3,2,CFS
2026-03-29,Dominican Republic,Cuba,1,1,CFS
2026-03-29,El Salvador,Martinique,1,0,CFS
2026-03-29,Cayman Islands,Bahamas,1,0,CFS
2026-03-29,Tanzania,Macao,6,0,FFS
2026-03-29,South Sudan,Djibouti,0,1,FQ
2026-03-29,Bonaire,Saint Martin,0,3,CFS
2026-03-29,Armenia,Belarus,1,2,F
2026-03-30,Saint Kitts and Nevis,Solomon Islands,4,2,FFS
2026-03-30,Uzbekistan,Venezuela,0,0,FFS
2026-03-30,Dominica,Sint Maarten,0,0,CFS
2026-03-30,Guyana,Belize,3,1,CFS
2026-03-30,Indonesia,Bulgaria,0,1,FFS
2026-03-30,Kenya,Grenada,3,0,FFS
2026-03-30,Cape Verde,Finland,1,1,FFS
2026-03-30,Cyprus,Moldova,3,2,F
2026-03-30,Germany,Ghana,2,1,F
2026-03-30,Azerbaijan,Sierra Leone,1,1,FFS
2026-03-30,Rwanda,Estonia,2,0,FFS
2026-03-30,Gabon,Trinidad and Tobago,2,2,FFS
2026-03-30,New Zealand,Chile,4,1,FFS
2026-03-31,Haiti,Iceland,1,1,FT
2026-03-31,Bhutan,Brunei Darussalam,2,1,SQ
2026-03-31,Chinese Taipei,Sri Lanka,1,3,SQ
2026-03-31,Togo,Niger,1,0,F
2026-03-31,Kosovo,Türkiye,0,1,WQ
2026-03-31,Jordan,Nigeria,2,2,NSM
2026-03-31,Equatorial Guinea,Madagascar,1,1,F
2026-03-31,Kazakhstan,Comoros,1,0,FFS
2026-03-31,Benin,Guinea,1,0,F
2026-03-31,England,Japan,0,1,F
2026-03-31,South Africa,Panama,1,2,F
2026-03-31,Eswatini,Eritrea,1,2,FQ
2026-03-31,Serbia,Saudi Arabia,2,1,F
2026-03-31,Iraq,Bolivia,2,1,WQ
2026-03-31,San Marino,Andorra,0,0,F
2026-03-31,Canada,Tunisia,0,0,FT
2026-03-31,Brazil,Croatia,3,1,F
2026-03-31,Botswana,Malawi,1,0,MKR
2026-03-31,Hungary,Greece,0,0,F
2026-03-31,Ireland,North Macedonia,0,0,F
2026-03-31,Slovakia,Romania,2,0,F
2026-03-31,Norway,Switzerland,0,0,F
2026-03-31,Wales,Northern Ireland,1,1,F
2026-03-31,Cameroon,China PR,2,0,FFS
2026-03-31,Argentina,Zambia,5,0,F
2026-03-31,Algeria,Uruguay,0,0,F
2026-03-31,Bosnia-Herzegovina,Italy,1,1,WQ
2026-03-31,Latvia,Gibraltar,1,0,ECD
2026-03-31,Burundi,Chad,4,0,FQ
2026-03-31,Senegal,The Gambia,3,1,F
2026-03-31,India,"Hong Kong, China",2,1,SQ
2026-03-31,Ethiopia,Sao Tome and Principe,1,0,FQ
2026-03-31,Congo DR,Jamaica,1,0,WQ
2026-03-31,Russia,Mali,0,0,F
2026-03-31,Vietnam,Malaysia,3,1,SQ
2026-03-31,Burkina Faso,Guinea-Bissau,1,1,F
2026-03-31,Laos,Nepal,1,0,SQ
2026-03-31,Luxembourg,Malta,3,0,ECD
2026-03-31,Syria,Afghanistan,5,1,SQ
2026-03-31,Singapore,Bangladesh,1,0,SQ
2026-03-31,Morocco,Paraguay,2,1,F
2026-03-31,United States,Portugal,0,2,F
2026-03-31,Czechia,Denmark,2,2,WQ
2026-03-31,Australia,Curaçao,5,1,FFS
2026-03-31,Maldives,East Timor,2,1,SQ
2026-03-31,Sweden,Poland,3,2,WQ
2026-03-31,Thailand,Turkmenistan,2,1,SQ
2026-03-31,Costa Rica,IR Iran,0,5,NSM
2026-03-31,Netherlands,Ecuador,1,1,F
2026-03-31,Spain,Egypt,0,0,F
2026-03-31,Pakistan,Myanmar,1,2,SQ
2026-03-31,Honduras,Peru,2,2,F
2026-03-31,Tajikistan,Philippines,1,1,SQ
2026-03-31,Belgium,Mexico,1,1,F
2026-03-31,Montenegro,Slovenia,2,3,F
2026-03-31,Ukraine,Albania,1,0,F
2026-03-31,Côte d'Ivoire,Scotland,1,0,F
2026-03-31,Mauritius,Somalia,0,0,FQ
2026-03-31,Liberia,Libya,2,2,F
2026-03-31,Austria,Korea Republic,1,0,F
2026-05-16,Ireland,Grenada,5,0,F
2026-05-22,Mexico,Ghana,2,0,F
2026-05-26,Nigeria,Zimbabwe,2,0,UTC
2026-05-26,Morocco,Burundi,5,0,F
2026-05-27,Jamaica,India,2,0,UTC
2026-05-28,Egypt,Russia,1,0,F
2026-05-28,Ireland,Qatar,1,0,F
2026-05-29,Bosnia-Herzegovina,North Macedonia,0,0,F
2026-05-29,IR Iran,The Gambia,3,1,F
2026-05-29,Iraq,Andorra,1,0,F
2026-05-29,South Africa,Nicaragua,0,0,F
2026-05-30,Korea Republic,Trinidad and Tobago,5,0,F
2026-05-30,Nigeria,Jamaica,3,0,UTC
2026-05-30,Ecuador,Saudi Arabia,2,1,F
2026-05-30,Scotland,Curaçao,4,1,F
2026-05-30,Zimbabwe,India,1,0,UTC
2026-05-30,Mexico,Australia,1,0,F
2026-05-31,Japan,Iceland,1,0,F
2026-05-31,Brazil,Panama,6,2,F
2026-05-31,Germany,Finland,4,0,F
2026-05-31,Singapore,Mongolia,4,0,F
2026-05-31,Poland,Ukraine,0,2,F
2026-05-31,Czechia,Kosovo,2,1,F
2026-05-31,Cape Verde,Serbia,3,0,F
2026-05-31,United States,Senegal,3,2,F
2026-05-31,Switzerland,Jordan,4,1,F
2026-06-01,Türkiye,North Macedonia,4,0,F
2026-06-01,Canada,Uzbekistan,2,0,F
2026-06-01,Colombia,Costa Rica,3,1,F
2026-06-01,Austria,Tunisia,1,0,F
2026-06-01,Norway,Sweden,3,1,F
2026-06-01,Maldives,Afghanistan,0,1,DJB
2026-06-01,Slovakia,Malta,2,1,F
2026-06-01,Bulgaria,Montenegro,0,1,F
2026-06-02,Brunei Darussalam,East Timor,0,3,SEQ
2026-06-02,Haiti,New Zealand,4,0,F
2026-06-02,Wales,Ghana,1,1,F
2026-06-02,Georgia,Romania,1,1,F
2026-06-02,Croatia,Belgium,0,2,F
2026-06-02,Morocco,Madagascar,4,0,F
2026-06-03,Korea Republic,El Salvador,1,0,F
2026-06-03,Netherlands,Algeria,0,1,F
2026-06-03,Gibraltar,British Virgin Islands,4,0,F
2026-06-03,Luxembourg,Italy,0,1,F
2026-06-03,Poland,Nigeria,2,2,F
2026-06-03,Philippines,Guam,5,1,FT
2026-06-03,Albania,Israel,0,1,F
2026-06-03,Denmark,Congo DR,0,0,F
2026-06-03,Panama,Dominican Republic,4,2,F
2026-06-04,Czechia,Guatemala,3,1,F
2026-06-04,France,Côte d'Ivoire,1,2,F
2026-06-04,Sweden,Greece,2,2,F
2026-06-04,Northern Ireland,Guinea,1,0,F
2026-06-04,Andorra,Liechtenstein,2,0,F
2026-06-04,Mexico,Serbia,5,1,F
2026-06-04,Slovenia,Cyprus,1,1,F
2026-06-04,Spain,Iraq,1,1,F
2026-06-04,Maldives,Pakistan,0,3,DJB
2026-06-04,Cambodia,Bhutan,4,0,F
2026-06-04,IR Iran,Mali,2,0,F
2026-06-04,Yemen,Lebanon,2,0,SQ
2026-06-04,Kenya,Lesotho,1,1,F
2026-06-05,Saudi Arabia,Puerto Rico,3,0,F
2026-06-05,Central African Republic,Togo,1,1,F
2026-06-05,Paraguay,Nicaragua,4,0,F
2026-06-05,Singapore,China PR,1,2,F
2026-06-05,Benin,Niger,1,1,F
2026-06-05,Indonesia,Oman,3,0,GRD
2026-06-05,Thailand,Kuwait,2,2,F
2026-06-05,Belarus,Syria,4,1,F
2026-06-05,San Marino,Bangladesh,1,2,F
2026-06-05,Georgia,Bahrain,2,0,F
2026-06-05,Malta,Azerbaijan,2,0,F
2026-06-05,Slovakia,Montenegro,2,2,F
2026-06-05,Peru,Haiti,2,1,F
2026-06-05,Canada,Ireland,1,1,F
2026-06-05,Hungary,Finland,2,1,F
2026-06-05,"Hong Kong, China",Mongolia,2,0,F
2026-06-05,Angola,Mauritania,1,1,F
2026-06-05,Russia,Burkina Faso,3,0,F
2026-06-05,Tajikistan,India,3,1,F
2026-06-05,Moldova,Bulgaria,2,2,F
2026-06-06,Portugal,Chile,2,1,F
2026-06-06,Armenia,Kazakhstan,1,1,F
2026-06-06,Vanuatu,Fiji,2,1,F
2026-06-06,Ethiopia,Malawi,1,0,F
2026-06-06,Estonia,Faroe Islands,1,0,BLC
2026-06-06,England,New Zealand,1,0,F
2026-06-06,El Salvador,Qatar,0,0,F
2026-06-06,Romania,Wales,2,1,F
2026-06-06,Albania,Luxembourg,0,1,F
2026-06-06,Kyrgyz Republic,Palestine,0,0,F
2026-06-06,Lithuania,Latvia,1,1,BLC
2026-06-06,Belgium,Tunisia,5,0,F
2026-06-06,Sierra Leone,Liberia,1,0,F
2026-06-06,Türkiye,Venezuela,2,1,F
2026-06-06,Australia,Switzerland,1,1,F
2026-06-06,Curaçao,Aruba,4,0,F
2026-06-06,Myanmar,Guam,6,1,FT
2026-06-06,Cape Verde,Bermuda,3,0,F
2026-06-06,Bosnia-Herzegovina,Panama,1,1,F
2026-06-06,Jamaica,South Africa,1,1,F
2026-06-06,Scotland,Bolivia,4,0,F
2026-06-06,Argentina,Honduras,2,0,F
2026-06-06,Gibraltar,Cayman Islands,4,1,F
2026-06-06,British Virgin Islands,Bonaire,2,0,F
2026-06-06,Brazil,Egypt,2,1,F
2026-06-06,United States,Germany,1,2,F
2026-06-07,Croatia,Slovenia,2,1,F
2026-06-07,Morocco,Norway,1,1,F
2026-06-07,Pakistan,Afghanistan,2,0,DJB
2026-06-07,Oman,Mozambique,4,1,GRD
2026-06-07,Ecuador,Guatemala,3,0,F
2026-06-07,Greece,Italy,0,1,F
2026-06-07,Liechtenstein,Cyprus,0,2,F
2026-06-07,Kenya,Lesotho,4,0,F
2026-06-07,Colombia,Jordan,2,0,F
2026-06-07,Kosovo,Andorra,3,0,F
2026-06-07,Denmark,Ukraine,2,1,F
2026-06-08,Spain,Peru,3,1,F
2026-06-08,Mauritania,Niger,1,0,F
2026-06-08,Netherlands,Uzbekistan,2,1,F
2026-06-08,Sri Lanka,Bhutan,4,1,F
2026-06-08,France,Northern Ireland,3,1,F
2026-06-09,Estonia,Lithuania,1,0,BLC
2026-06-09,Russia,Trinidad and Tobago,3,0,F
2026-06-09,Angola,Central African Republic,3,0,F
2026-06-09,Azerbaijan,San Marino,2,1,F
2026-06-09,Chile,Congo DR,2,1,F
2026-06-09,Indonesia,Mozambique,1,0,GRD
2026-06-09,East Timor,Brunei Darussalam,3,1,SEQ
2026-06-09,Saudi Arabia,Senegal,0,0,F
2026-06-09,Liberia,Sierra Leone,3,1,F
2026-06-09,China PR,Thailand,0,0,F
2026-06-09,Armenia,Moldova,1,1,F
2026-06-09,Belarus,Burkina Faso,2,2,F
2026-06-09,Vanuatu,Fiji,2,2,F
2026-06-09,Cambodia,"Hong Kong, China",2,0,F
2026-06-09,Philippines,Myanmar,5,1,FT
2026-06-09,Hungary,Kazakhstan,3,1,F
2026-06-09,Comoros,Equatorial Guinea,1,0,F
2026-06-09,Togo,Benin,5,1,F
2026-06-09,Venezuela,Iraq,2,0,F
2026-06-09,Ethiopia,Malawi,1,1,F
2026-06-09,Latvia,Faroe Islands,0,1,BLC
2026-06-09,Argentina,Iceland,3,0,F
2026-06-09,Kyrgyz Republic,Palestine,0,0,F
2026-06-09,Tajikistan,India,1,1,F
2026-06-10,England,Costa Rica,3,0,F
2026-06-10,Pakistan,Afghanistan,2,0,DJB
2026-06-10,Algeria,Bolivia,4,0,F
2026-06-10,Portugal,Nigeria,2,1,F
2026-06-11,Mexico,South Africa,2,0,WC
2026-06-11,Korea Republic,Czechia,2,1,WC
2026-06-12,Canada,Bosnia-Herzegovina,1,1,WC
2026-06-12,United States,Paraguay,4,1,WC
2026-06-13,Brazil,Morocco,1,1,WC
2026-06-13,Australia,Türkiye,2,0,WC
2026-06-13,Qatar,Switzerland,1,1,WC
2026-06-13,Scotland,Haiti,1,0,WC
2026-06-14,Germany,Curaçao,7,1,WC
2026-06-14,Japan,Netherlands,2,2,WC
